"","year","state","sex","emailIntUse","intMobile","age","educationLevel","employed","income","intAtHome","marital","race","party","demoOrRep","useTwitter","useInstagram","usePinterest","useLinkedin","useFacebook","freqTwitter","freqInstagram","freqFacebook","useSocialMedia","zipcode","freqPinterest","freqLinkedin","intfreq","useSnapchat","useYoutube","useWhatsap","freqSnapchat","freqYoutube","internetOpinionSociety","answers","internetOpinionYou","ageGroups"
"1",2013,1,"male","yes","yes",20,"high school graduate","parttime","(100000, 150000]","no","never been married","white",NA,NA,"yes","no","no","no","yes","a few times a week",NA,"about once a day",NA,35209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"2",2013,1,"male","yes","yes",26,"high school graduate","fulltime","(100000, 150000]","yes","married","white",NA,NA,"no","no","yes","yes","no",NA,NA,NA,NA,35758,"less often","less often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"3",2013,1,"male","yes","yes",27,"bachelors degree","fulltime","(75000, 100000]","yes","never been married","black",NA,NA,"yes","yes","yes","yes","yes","less often","a few times a week","several times a day",NA,36695,"a few times a week","several times a day",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
"4",2013,1,"male","yes","yes",39,"high school graduate","fulltime","(30000, 40000]","yes","never been married","white",NA,NA,"no","no","no","no","yes",NA,NA,"less often",NA,36054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"5",2013,1,"male","yes","yes",39,"high school graduate","fulltime","(40000, 50000]","yes","never been married","black",NA,NA,"no","no","no","no","yes",NA,NA,"a few times a week",NA,36474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"6",2013,1,"male","yes","yes",41,"high school graduate","fulltime","(100000, 150000]","yes","married","white",NA,NA,"no","no","yes","yes","no",NA,NA,NA,NA,36738,"every few weeks","less often",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"7",2013,1,"male","yes","yes",41,"high school graduate","not employed","(0, 10000]","yes","divorced","white",NA,NA,"no","no","no","no","no",NA,NA,NA,NA,35205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-44"
"8",2013,1,"male","yes","yes",48,"high school graduate","disabled","(20000, 30000]","yes","never been married","white",NA,NA,"no","no","no","no","yes",NA,NA,"about once a day",NA,35622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"9",2013,1,"male","yes","yes",50,"postgraduate degree","fulltime","(100000, 150000]","yes","living with a partner","white",NA,NA,"yes","yes","yes","yes","yes","a few times a week","several times a day","several times a day",NA,35802,"less often","several times a day",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"10",2013,1,"male","yes","yes",53,"bachelors degree","fulltime","(30000, 40000]","yes","divorced","white",NA,NA,"no","no","no","yes","yes",NA,NA,"several times a day",NA,35209,NA,"every few weeks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45-54"
"11",2013,1,"male","yes","yes",57,"bachelors degree","fulltime","(100000, 150000]","yes","married","white",NA,NA,"no","yes","no","yes","yes",NA,"less often","several times a day",NA,36067,NA,"about once a day",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55-64"
"12",2013,1,"male","yes","yes",66,"postgraduate degree","retired","(75000, 100000]","yes","divorced","white",NA,NA,"yes","no","no","no","yes","a few times a week",NA,"several times a day",NA,36527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"13",2013,1,"male","yes","no",66,"bachelors degree","retired","refused","yes","divorced","white",NA,NA,"no","no","no","yes","yes",NA,NA,"about once a day",NA,36109,NA,"a few times a week",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"14",2013,1,"male","no","yes",78,"some college","retired","(30000, 40000]","no","married","white",NA,NA,"no","yes","no","no","yes",NA,"less often","about once a day",NA,36695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75+"
"15",2013,1,"male","no","no",66,"high school graduate","retired","(20000, 30000]",NA,"separated","white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65-74"
"16",2013,1,"female","yes","yes",19,"some college","parttime","(50000, 75000]","no","living with a partner","white",NA,NA,"no","no","no","no","yes",NA,NA,"several times a day",NA,35055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18-24"
"17",2013,1,"female","yes","yes",33,"associate","not employed","(20000, 30000]","yes","married","white",NA,NA,"no","yes","no","no","no",NA,"about once a day",NA,NA,36575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25-34"
